Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Category,Segmentation
Male,Yes,35.0,No,Artist,4.0,Average,2.0,Cat_6,B
Female,No,26.0,Yes,Healthcare,0.0,Low,3.0,Cat_6,C
Male,Yes,19.0,No,Healthcare,9.0,Low,3.0,Cat_3,D
Female,Yes,25.0,No,Engineer,6.0,Average,7.0,Cat_4,D
Female,Yes,39.0,Yes,Healthcare,4.0,Low,2.0,Cat_6,A
Male,Yes,63.0,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
Male,No,23.0,No,Healthcare,8.0,Low,3.0,Cat_6,D
Female,No,23.0,No,Healthcare,0.0,Low,3.0,Cat_3,D
Female,Yes,53.0,Yes,Artist,2.0,Low,1.0,Cat_6,C
Male,No,33.0,Yes,Doctor,0.0,Low,2.0,Cat_6,B
Female,Yes,50.0,No,Engineer,1.0,Average,4.0,Cat_2,B
Female,Yes,69.0,Yes,Engineer,0.0,Low,2.0,Cat_4,B
Male,No,37.0,Yes,Artist,2.0,Low,1.0,Cat_6,B
Female,No,20.0,No,Marketing,3.0,Low,4.0,Cat_7,C
Female,Yes,85.0,No,Lawyer,0.0,High,1.0,Cat_3,C
Female,Yes,49.0,Yes,Doctor,1.0,Average,4.0,Cat_6,C
Male,No,18.0,No,Healthcare,0.0,Low,3.0,Cat_3,D
Female,Yes,52.0,Yes,Doctor,0.0,Average,2.0,Cat_6,C
Male,Yes,25.0,No,Doctor,1.0,Average,2.0,Cat_4,B
Male,Yes,56.0,No,Executive,1.0,High,2.0,Cat_6,A
Male,No,62.0,Yes,Artist,0.0,Low,1.0,Cat_6,A
Female,No,35.0,Yes,Artist,0.0,Low,3.0,Cat_6,B
Male,Yes,28.0,Yes,Engineer,0.0,Average,2.0,Cat_6,A
Female,No,28.0,Yes,Artist,7.0,Low,3.0,Cat_6,A
Male,No,20.0,No,Healthcare,0.0,Low,5.0,Cat_7,D
Female,No,27.0,No,Homemaker,8.0,Low,1.0,Cat_3,D
Female,No,56.0,No,Engineer,1.0,Low,1.0,Cat_6,A
Male,Yes,45.0,Yes,Artist,4.0,Average,4.0,Cat_6,B
Male,No,25.0,Yes,Healthcare,1.0,Low,4.0,Cat_4,B
Male,No,40.0,No,Marketing,1.0,Low,1.0,Cat_4,D
Female,Yes,25.0,Yes,Healthcare,1.0,Low,2.0,Cat_6,D
Female,Yes,74.0,No,Lawyer,1.0,High,2.0,Cat_6,D
Female,No,23.0,No,Healthcare,0.0,Low,4.0,Cat_6,D
Female,Yes,67.0,Yes,Lawyer,0.0,High,2.0,Cat_6,B
Male,No,21.0,No,Healthcare,0.0,Low,4.0,Cat_6,D
Female,No,38.0,Yes,Artist,9.0,Low,1.0,Cat_3,A
Male,No,28.0,No,Healthcare,0.0,Low,4.0,Cat_2,C
Female,No,32.0,No,Healthcare,1.0,Low,5.0,Cat_7,B
Female,No,33.0,Yes,Artist,0.0,Low,4.0,Cat_6,D
Female,Yes,56.0,No,Lawyer,1.0,High,4.0,Cat_4,B
Female,Yes,53.0,Yes,Artist,1.0,Low,2.0,Cat_6,C
Male,Yes,57.0,No,Executive,1.0,High,5.0,Cat_6,C
Female,Yes,59.0,Yes,Artist,0.0,Average,3.0,Cat_6,C
Female,Yes,25.0,Yes,Healthcare,1.0,High,4.0,Cat_4,A
Male,Yes,59.0,Yes,Artist,0.0,Average,6.0,Cat_6,C
Female,Yes,36.0,Yes,Artist,0.0,Low,4.0,Cat_6,C
Male,Yes,37.0,Yes,Entertainment,7.0,Low,2.0,Cat_6,A
Male,No,22.0,No,Doctor,1.0,Low,3.0,Cat_2,D
Male,Yes,43.0,Yes,Artist,1.0,Low,2.0,Cat_6,B
Male,Yes,41.0,Yes,Artist,1.0,Low,2.0,Cat_4,A
Female,No,21.0,No,Engineer,0.0,Low,5.0,Cat_2,B
Female,No,49.0,No,Engineer,1.0,Low,3.0,Cat_7,A
Male,No,38.0,Yes,Doctor,8.0,Low,1.0,Cat_2,B
Male,Yes,47.0,No,Artist,1.0,Average,4.0,Cat_6,A
Male,Yes,70.0,Yes,Lawyer,1.0,High,3.0,Cat_6,C
Female,No,31.0,No,Engineer,1.0,Low,4.0,Cat_6,B
Female,Yes,82.0,No,Lawyer,0.0,Average,2.0,Cat_6,A
Female,Yes,51.0,No,Executive,1.0,Low,1.0,Cat_6,A
Female,No,42.0,No,Homemaker,10.0,Low,3.0,Cat_6,A
Male,No,38.0,Yes,Artist,8.0,Low,3.0,Cat_2,A
Male,Yes,18.0,No,Executive,0.0,High,4.0,Cat_6,A
Male,Yes,50.0,Yes,Artist,6.0,Average,3.0,Cat_6,C
Female,No,46.0,Yes,Doctor,1.0,Low,3.0,Cat_3,A
Female,Yes,72.0,No,Lawyer,1.0,High,3.0,Cat_6,D
Female,No,33.0,No,Engineer,1.0,Low,4.0,Cat_6,C
Female,No,25.0,No,Homemaker,1.0,Low,7.0,Cat_4,B
Female,Yes,75.0,No,Entertainment,2.0,High,2.0,Cat_2,D
Male,No,72.0,Yes,Artist,1.0,Low,1.0,Cat_6,B
Female,Yes,72.0,Yes,Artist,0.0,Average,3.0,Cat_4,C
Male,Yes,36.0,Yes,Entertainment,6.0,Low,6.0,Cat_4,A
Male,Yes,40.0,Yes,Artist,1.0,Low,2.0,Cat_6,A
Female,No,28.0,Yes,Entertainment,0.0,Low,4.0,Cat_6,C
Female,No,28.0,Yes,Doctor,0.0,Low,3.0,Cat_6,D
Male,Yes,19.0,No,Entertainment,0.0,High,3.0,Cat_4,D
Male,Yes,43.0,Yes,Artist,0.0,Low,2.0,Cat_4,B
Female,Yes,35.0,Yes,Artist,1.0,Average,2.0,Cat_6,B
Male,Yes,65.0,Yes,Lawyer,1.0,High,2.0,Cat_6,B
Male,Yes,52.0,Yes,Executive,7.0,High,4.0,Cat_4,C
Female,No,40.0,Yes,Artist,1.0,Low,1.0,Cat_6,B
Female,Yes,69.0,No,Engineer,9.0,Low,3.0,Cat_6,A
Female,No,22.0,No,Healthcare,3.0,Low,3.0,Cat_6,D
Male,Yes,47.0,Yes,Executive,1.0,Average,4.0,Cat_6,C
Male,Yes,29.0,Yes,Marketing,1.0,High,2.0,Cat_3,A
Male,Yes,46.0,Yes,Artist,1.0,Average,3.0,Cat_3,C
Male,No,32.0,Yes,Artist,1.0,Low,2.0,Cat_6,A
Female,No,38.0,Yes,Healthcare,0.0,Low,1.0,Cat_2,C
Male,Yes,59.0,Yes,Artist,0.0,Low,1.0,Cat_6,B
Female,No,26.0,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
Male,No,26.0,Yes,Healthcare,1.0,Low,2.0,Cat_3,A
Male,No,28.0,No,Marketing,0.0,Low,1.0,Cat_3,D
Female,Yes,53.0,Yes,Engineer,1.0,Average,3.0,Cat_6,C
Female,No,43.0,Yes,Entertainment,1.0,Low,1.0,Cat_6,B
Male,No,27.0,No,Doctor,1.0,Low,3.0,Cat_6,D
Female,No,32.0,No,Artist,1.0,Low,7.0,Cat_6,C
Male,No,26.0,No,Engineer,0.0,Low,4.0,Cat_4,D
Female,No,31.0,No,Entertainment,0.0,Low,2.0,Cat_6,D
Male,Yes,39.0,Yes,Executive,1.0,High,3.0,Cat_3,B
Female,Yes,43.0,No,Engineer,1.0,Low,3.0,Cat_7,A
Male,Yes,25.0,No,Doctor,1.0,Low,2.0,Cat_1,A
Male,Yes,40.0,Yes,Artist,3.0,High,3.0,Cat_6,A
Female,Yes,40.0,Yes,Entertainment,7.0,Average,2.0,Cat_3,B
Male,Yes,63.0,Yes,Entertainment,1.0,Average,3.0,Cat_6,C
Female,Yes,27.0,Yes,Healthcare,1.0,Low,2.0,Cat_6,D
Male,No,27.0,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
Female,No,19.0,No,Healthcare,1.0,Low,2.0,Cat_6,D
Female,Yes,86.0,Yes,Lawyer,0.0,High,2.0,Cat_6,B
Male,Yes,41.0,Yes,Marketing,1.0,High,2.0,Cat_6,B
Female,Yes,27.0,Yes,Artist,4.0,Average,2.0,Cat_3,C
Female,Yes,70.0,No,Doctor,0.0,Average,2.0,Cat_6,B
Female,Yes,53.0,No,Engineer,8.0,Average,4.0,Cat_4,B
Female,Yes,49.0,No,Engineer,1.0,Average,4.0,Cat_4,B
Male,Yes,55.0,No,Executive,3.0,Low,3.0,Cat_4,D
Female,Yes,57.0,Yes,Engineer,0.0,Average,4.0,Cat_2,C
Male,Yes,83.0,No,Lawyer,1.0,Low,1.0,Cat_4,B
Male,Yes,43.0,No,Executive,0.0,High,4.0,Cat_6,A
Male,Yes,36.0,No,Doctor,6.0,Low,3.0,Cat_6,A
Male,Yes,74.0,Yes,Lawyer,0.0,Low,2.0,Cat_6,C
Female,No,30.0,No,Homemaker,0.0,Low,4.0,Cat_6,D
Female,No,37.0,Yes,Artist,5.0,Low,2.0,Cat_6,B
Female,No,22.0,No,Marketing,0.0,Low,1.0,Cat_5,B
Male,No,19.0,No,Healthcare,0.0,Low,4.0,Cat_6,D
Male,Yes,70.0,Yes,Engineer,4.0,High,2.0,Cat_6,B
Male,Yes,87.5,Yes,Lawyer,10.0,Low,1.0,Cat_6,A
Male,No,18.0,No,Healthcare,1.0,Low,4.0,Cat_6,D
Male,No,25.0,Yes,Doctor,6.0,Low,1.0,Cat_2,D
Female,No,45.0,Yes,Artist,4.0,Low,1.0,Cat_3,A
Female,No,35.0,Yes,Artist,3.0,Low,1.0,Cat_4,A
Female,Yes,37.0,No,Engineer,7.0,Low,1.0,Cat_4,D
Female,Yes,39.0,No,Engineer,4.0,Average,2.0,Cat_6,B
Female,No,32.0,Yes,Healthcare,1.0,Low,5.0,Cat_4,D
Female,Yes,62.0,Yes,Artist,2.0,Average,3.0,Cat_6,C
Female,Yes,58.0,Yes,Engineer,0.0,Average,4.0,Cat_4,B
Female,No,32.0,No,Engineer,1.0,Low,4.0,Cat_6,C
Male,No,25.0,No,Healthcare,0.0,Low,5.0,Cat_6,C
Female,Yes,56.0,Yes,Artist,0.0,Average,4.0,Cat_6,C
Female,No,36.0,Yes,Entertainment,10.0,Low,2.0,Cat_6,A
Female,No,30.0,No,Healthcare,8.0,Low,3.0,Cat_6,A
Male,No,19.0,No,Healthcare,1.0,Low,5.0,Cat_6,D
Male,No,27.0,Yes,Healthcare,0.0,Low,2.0,Cat_6,A
Female,No,38.0,Yes,Doctor,10.0,Low,1.0,Cat_6,A
Male,Yes,46.0,Yes,Artist,8.0,Average,2.0,Cat_6,C
Male,No,29.0,Yes,Artist,3.0,Low,1.0,Cat_6,B
Male,Yes,51.0,No,Entertainment,1.0,Average,4.0,Cat_7,B
Male,Yes,55.0,No,Artist,0.0,Low,1.0,Cat_6,A
Female,Yes,69.0,Yes,Engineer,1.0,Low,1.0,Cat_3,A
Female,No,26.0,No,Healthcare,1.0,Low,7.0,Cat_7,C
Female,Yes,83.0,Yes,Lawyer,0.0,Low,3.0,Cat_6,A
Female,No,39.0,Yes,Healthcare,9.0,Low,1.0,Cat_6,D
Male,Yes,35.0,Yes,Artist,9.0,Low,1.0,Cat_6,A
Male,Yes,19.0,No,Marketing,2.0,High,5.0,Cat_6,C
Female,Yes,60.0,Yes,Artist,1.0,High,4.0,Cat_6,C
Male,Yes,35.0,Yes,Artist,1.0,Average,4.0,Cat_6,C
Female,No,53.0,Yes,Engineer,1.0,Low,1.0,Cat_6,B
Female,Yes,86.0,No,Lawyer,1.0,Low,3.0,Cat_6,B
Female,No,29.0,No,Healthcare,1.0,Low,3.0,Cat_6,B
Female,No,26.0,No,Doctor,0.0,Low,1.0,Cat_6,D
Male,No,36.0,Yes,Engineer,8.0,Low,1.0,Cat_6,A
Female,No,22.0,No,Homemaker,0.0,Low,4.0,Cat_6,D
Male,No,19.0,No,Marketing,0.0,Low,5.0,Cat_6,A
Female,Yes,20.0,Yes,Lawyer,1.0,Average,3.0,Cat_3,A
Male,No,43.0,Yes,Healthcare,3.0,Low,3.0,Cat_6,D
Female,No,42.0,Yes,Artist,1.0,Low,3.0,Cat_6,A
Male,No,43.0,Yes,Entertainment,1.0,Low,2.0,Cat_4,A
Female,Yes,50.0,Yes,Engineer,4.0,High,3.0,Cat_6,B
Male,No,25.0,Yes,Entertainment,1.0,Low,2.0,Cat_6,A
Male,Yes,61.0,No,Artist,1.0,High,2.0,Cat_6,B
Female,Yes,28.0,Yes,Healthcare,0.0,Average,2.0,Cat_6,A
Male,No,38.0,Yes,Artist,1.0,Low,1.0,Cat_6,D
Male,No,25.0,No,Executive,10.0,Low,3.0,Cat_6,A
Female,No,18.0,No,Healthcare,9.0,Low,5.0,Cat_4,D
Male,Yes,43.0,Yes,Entertainment,1.0,Average,5.0,Cat_5,C
Female,No,27.0,Yes,Artist,8.0,Low,1.0,Cat_6,B
Female,No,60.0,Yes,Entertainment,1.0,Low,2.0,Cat_6,D
Male,Yes,75.0,Yes,Lawyer,2.0,Low,1.0,Cat_6,D
